 
22 MiniMax {numberOfFightersPlayerTwo=26, goldPlayerOne=100, numberOfArchPlayerOne=22, numberOfFightingUnitOne=69, goldPlayerTwo=0, numberOfFightingUnitTwo=63, numberOfHousesPlayerOne=22, numberOfArchPlayerTwo=30, foodPlayerOne=10, numberOfHousesPlayerTwo=50, numberOfVillagersPlayerOne=50, numberOfFightersPlayerOne=38, woodPlayerTwo=20, foodPlayerTwo=10, woodPlayerOne=100, numberOfVillagersPlayerTwo=38} 
23 MiniMax {numberOfFightersPlayerTwo=51, goldPlayerOne=230, numberOfArchPlayerOne=26, numberOfFightingUnitOne=79, goldPlayerTwo=60, numberOfFightingUnitTwo=68, numberOfHousesPlayerOne=24, numberOfArchPlayerTwo=30, foodPlayerOne=125, numberOfHousesPlayerTwo=24, numberOfVillagersPlayerOne=54, numberOfFightersPlayerOne=35, woodPlayerTwo=10, foodPlayerTwo=25, woodPlayerOne=40, numberOfVillagersPlayerTwo=39} 
20 MiniMax {numberOfFightersPlayerTwo=32, goldPlayerOne=0, numberOfArchPlayerOne=30, numberOfFightingUnitOne=51, goldPlayerTwo=60, numberOfFightingUnitTwo=38, numberOfHousesPlayerOne=20, numberOfArchPlayerTwo=21, foodPlayerOne=0, numberOfHousesPlayerTwo=23, numberOfVillagersPlayerOne=42, numberOfFightersPlayerOne=28, woodPlayerTwo=130, foodPlayerTwo=10, woodPlayerOne=20, numberOfVillagersPlayerTwo=62} 
20 MiniMax {numberOfFightersPlayerTwo=29, goldPlayerOne=0, numberOfArchPlayerOne=30, numberOfFightingUnitOne=36, goldPlayerTwo=70, numberOfFightingUnitTwo=37, numberOfHousesPlayerOne=17, numberOfArchPlayerTwo=19, foodPlayerOne=25, numberOfHousesPlayerTwo=24, numberOfVillagersPlayerOne=32, numberOfFightersPlayerOne=23, woodPlayerTwo=50, foodPlayerTwo=25, woodPlayerOne=20, numberOfVillagersPlayerTwo=29} 
25 MiniMax {numberOfFightersPlayerTwo=40, goldPlayerOne=20, numberOfArchPlayerOne=32, numberOfFightingUnitOne=45, goldPlayerTwo=30, numberOfFightingUnitTwo=51, numberOfHousesPlayerOne=20, numberOfArchPlayerTwo=30, foodPlayerOne=10, numberOfHousesPlayerTwo=20, numberOfVillagersPlayerOne=22, numberOfFightersPlayerOne=46, woodPlayerTwo=20, foodPlayerTwo=0, woodPlayerOne=180, numberOfVillagersPlayerTwo=30} 
23 MiniMax {numberOfFightersPlayerTwo=33, goldPlayerOne=30, numberOfArchPlayerOne=30, numberOfFightingUnitOne=51, goldPlayerTwo=20, numberOfFightingUnitTwo=47, numberOfHousesPlayerOne=18, numberOfArchPlayerTwo=29, foodPlayerOne=15, numberOfHousesPlayerTwo=19, numberOfVillagersPlayerOne=31, numberOfFightersPlayerOne=29, woodPlayerTwo=20, foodPlayerTwo=25, woodPlayerOne=20, numberOfVillagersPlayerTwo=30} 
24 MiniMax {numberOfFightersPlayerTwo=40, goldPlayerOne=120, numberOfArchPlayerOne=30, numberOfFightingUnitOne=46, goldPlayerTwo=140, numberOfFightingUnitTwo=44, numberOfHousesPlayerOne=19, numberOfArchPlayerTwo=26, foodPlayerOne=5, numberOfHousesPlayerTwo=19, numberOfVillagersPlayerOne=30, numberOfFightersPlayerOne=35, woodPlayerTwo=80, foodPlayerTwo=20, woodPlayerOne=0, numberOfVillagersPlayerTwo=29} 
21 MiniMax {numberOfFightersPlayerTwo=17, goldPlayerOne=0, numberOfArchPlayerOne=30, numberOfFightingUnitOne=39, goldPlayerTwo=10, numberOfFightingUnitTwo=43, numberOfHousesPlayerOne=18, numberOfArchPlayerTwo=25, foodPlayerOne=15, numberOfHousesPlayerTwo=27, numberOfVillagersPlayerOne=31, numberOfFightersPlayerOne=29, woodPlayerTwo=80, foodPlayerTwo=5, woodPlayerOne=20, numberOfVillagersPlayerTwo=45} 
24 MiniMax {numberOfFightersPlayerTwo=32, goldPlayerOne=30, numberOfArchPlayerOne=30, numberOfFightingUnitOne=45, goldPlayerTwo=20, numberOfFightingUnitTwo=48, numberOfHousesPlayerOne=20, numberOfArchPlayerTwo=26, foodPlayerOne=30, numberOfHousesPlayerTwo=24, numberOfVillagersPlayerOne=36, numberOfFightersPlayerOne=34, woodPlayerTwo=30, foodPlayerTwo=40, woodPlayerOne=20, numberOfVillagersPlayerTwo=38} 
32 MiniMax {numberOfFightersPlayerTwo=45, goldPlayerOne=100, numberOfArchPlayerOne=37, numberOfFightingUnitOne=85, goldPlayerTwo=70, numberOfFightingUnitTwo=87, numberOfHousesPlayerOne=25, numberOfArchPlayerTwo=29, foodPlayerOne=0, numberOfHousesPlayerTwo=24, numberOfVillagersPlayerOne=30, numberOfFightersPlayerOne=58, woodPlayerTwo=100, foodPlayerTwo=15, woodPlayerOne=20, numberOfVillagersPlayerTwo=46} 
23 MiniMax {numberOfFightersPlayerTwo=41, goldPlayerOne=30, numberOfArchPlayerOne=30, numberOfFightingUnitOne=72, goldPlayerTwo=720, numberOfFightingUnitTwo=58, numberOfHousesPlayerOne=21, numberOfArchPlayerTwo=24, foodPlayerOne=15, numberOfHousesPlayerTwo=21, numberOfVillagersPlayerOne=46, numberOfFightersPlayerOne=29, woodPlayerTwo=0, foodPlayerTwo=95, woodPlayerOne=20, numberOfVillagersPlayerTwo=36} 
24 MiniMax {numberOfFightersPlayerTwo=41, goldPlayerOne=0, numberOfArchPlayerOne=30, numberOfFightingUnitOne=60, goldPlayerTwo=260, numberOfFightingUnitTwo=55, numberOfHousesPlayerOne=23, numberOfArchPlayerTwo=23, foodPlayerOne=25, numberOfHousesPlayerTwo=23, numberOfVillagersPlayerOne=50, numberOfFightersPlayerOne=35, woodPlayerTwo=100, foodPlayerTwo=5, woodPlayerOne=20, numberOfVillagersPlayerTwo=51} 
23 MiniMax {numberOfFightersPlayerTwo=39, goldPlayerOne=40, numberOfArchPlayerOne=31, numberOfFightingUnitOne=43, goldPlayerTwo=220, numberOfFightingUnitTwo=59, numberOfHousesPlayerOne=19, numberOfArchPlayerTwo=16, foodPlayerOne=0, numberOfHousesPlayerTwo=16, numberOfVillagersPlayerOne=30, numberOfFightersPlayerOne=34, woodPlayerTwo=0, foodPlayerTwo=25, woodPlayerOne=20, numberOfVillagersPlayerTwo=24} 
28 MiniMax {numberOfFightersPlayerTwo=42, goldPlayerOne=0, numberOfArchPlayerOne=30, numberOfFightingUnitOne=54, goldPlayerTwo=670, numberOfFightingUnitTwo=54, numberOfHousesPlayerOne=23, numberOfArchPlayerTwo=25, foodPlayerOne=10, numberOfHousesPlayerTwo=19, numberOfVillagersPlayerOne=54, numberOfFightersPlayerOne=30, woodPlayerTwo=70, foodPlayerTwo=20, woodPlayerOne=20, numberOfVillagersPlayerTwo=28} 
22 MiniMax {numberOfFightersPlayerTwo=31, goldPlayerOne=0, numberOfArchPlayerOne=30, numberOfFightingUnitOne=44, goldPlayerTwo=50, numberOfFightingUnitTwo=36, numberOfHousesPlayerOne=22, numberOfArchPlayerTwo=26, foodPlayerOne=10, numberOfHousesPlayerTwo=20, numberOfVillagersPlayerOne=32, numberOfFightersPlayerOne=26, woodPlayerTwo=30, foodPlayerTwo=65, woodPlayerOne=10, numberOfVillagersPlayerTwo=41} 
21 MiniMax {numberOfFightersPlayerTwo=27, goldPlayerOne=0, numberOfArchPlayerOne=30, numberOfFightingUnitOne=42, goldPlayerTwo=0, numberOfFightingUnitTwo=38, numberOfHousesPlayerOne=17, numberOfArchPlayerTwo=24, foodPlayerOne=15, numberOfHousesPlayerTwo=22, numberOfVillagersPlayerOne=30, numberOfFightersPlayerOne=25, woodPlayerTwo=10, foodPlayerTwo=5, woodPlayerOne=20, numberOfVillagersPlayerTwo=37} 
